State, Gender, Deaths, Population, Crude Rate
Alabama, Male, 403821, 38336447, 1053.4
Alaska, Male, 33567, 6042575, 555.5
Arizona, Male, 411529, 50902424, 808.5
Arkansas, Male, 248263, 23586713, 1052.6
California, Male, 2045838, 307716599, 664.8
Colorado, Male, 263856, 41172019, 640.
Connecticut, Male, 237671, 29102558, 816.7
Delaware, Male, 63376, 7122032, 889.9
D.C., Male, 45085, 4789566, 941.3
Florida, Male, 1514729, 150362162, 1007.4
Georgia, Male, 587070, 76762277, 764.8
Hawaii, Male, 87886, 11251853, 781.1
Idaho, Male, 95448, 12591520, 758.0
Illinois, Male, 857948, 105746017, 811.3
Indiana, Male, 475681, 53123572, 895.4
Iowa, Male, 229394, 25234423, 909.1
Kansas, Male, 205054, 23546932, 870.8
Kentucky, Male, 352860, 35384003, 997.2
Louisiana, Male, 360792, 37435932, 963.8
Maine, Male, 106548, 10920472, 975.7
Maryland, Male, 370102, 46462597, 796.6
Massachusetts, Male, 438120, 53454939, 819.6
Michigan, Male, 740901, 83073062, 891.9
Minnesota, Male, 321249, 43840114, 732.8
Mississippi, Male, 249664, 24091372, 1036.3
Missouri, Male, 465641, 48652884, 957.1
Montana, Male, 76021, 8189538, 928.3
Nebraska, Male, 126902, 15088069, 841.1
Nevada, Male, 175457, 21446491, 818.1
New Hampshire, Male, 86110, 10871017, 792.1
New Jersey, Male, 582977, 71921291, 810.6
New Mexico, Male, 139271, 16544703, 841.8
New York, Male, 1237983, 158597360, 780.6
North Carolina, Male, 647527, 75037395, 862.9
North Dakota, Male, 50857, 5750832, 884.3
Ohio, Male, 905619, 95214039, 951.1
Oklahoma, Male, 308385, 30646589, 1006.3
Oregon, Male, 268920, 31214477, 861.5
Pennsylvania, Male, 1048731, 103717656, 1011.1
Rhode Island, Male, 78250, 8672979, 902.2
South Carolina, Male, 347340, 36588238, 949.3
South Dakota, Male, 60805, 6763768, 899.0
Tennessee, Male, 498825, 50829490, 981.4
Texas, Male, 1411386, 201373411, 700.9
Utah, Male, 123157, 22118335, 556.8
Vermont, Male, 43513, 5192894, 837.9
Virginia, Male, 494990, 64499184, 767.4
Washington, Male, 406378, 54837289, 741.1
West Virginia, Male, 180878, 15286283, 1183.3
Wisconsin, Male, 395196, 47080682, 839.4
Wyoming, Male, 37756, 4636522, 814.3